file_path,start_time,end_time
/scratch/waseem/MIRA_insitu/trimmed_data/20241201_trimmed.nc,2024-12-01 00:00:06,2024-12-01 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241202_trimmed.nc,2024-12-02 00:00:06,2024-12-02 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241203_trimmed.nc,2024-12-03 00:00:06,2024-12-03 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241204_trimmed.nc,2024-12-04 00:00:06,2024-12-04 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241205_trimmed.nc,2024-12-05 00:00:06,2024-12-05 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241206_trimmed.nc,2024-12-06 00:00:06,2024-12-06 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241207_trimmed.nc,2024-12-07 00:00:06,2024-12-07 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241208_trimmed.nc,2024-12-08 00:00:06,2024-12-08 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241209_trimmed.nc,2024-12-09 00:00:06,2024-12-09 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241210_trimmed.nc,2024-12-10 00:00:06,2024-12-10 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241211_trimmed.nc,2024-12-11 00:00:07,2024-12-11 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241212_trimmed.nc,2024-12-12 00:00:06,2024-12-12 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241213_trimmed.nc,2024-12-13 00:00:06,2024-12-14 00:00:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241214_trimmed.nc,2024-12-14 00:00:06,2024-12-14 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241215_trimmed.nc,2024-12-15 00:00:07,2024-12-15 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241216_trimmed.nc,2024-12-16 00:00:06,2024-12-16 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241217_trimmed.nc,2024-12-17 00:00:06,2024-12-17 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241218_trimmed.nc,2024-12-18 00:00:06,2024-12-18 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241219_trimmed.nc,2024-12-19 00:00:06,2024-12-20 00:00:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241220_trimmed.nc,2024-12-20 00:00:06,2024-12-20 18:51:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241221_trimmed.nc,2024-12-21 00:00:06,2024-12-21 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241222_trimmed.nc,2024-12-22 00:00:06,2024-12-22 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241223_trimmed.nc,2024-12-23 00:00:06,2024-12-23 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241224_trimmed.nc,2024-12-24 00:00:06,2024-12-24 23:59:57
/scratch/waseem/MIRA_insitu/trimmed_data/20241225_trimmed.nc,2024-12-25 00:00:06,2024-12-26 00:00:01
/scratch/waseem/MIRA_insitu/trimmed_data/20241226_trimmed.nc,2024-12-26 00:00:06,2024-12-27 00:00:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241227_trimmed.nc,2024-12-27 00:00:07,2024-12-27 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241228_trimmed.nc,2024-12-28 00:00:06,2024-12-28 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241229_trimmed.nc,2024-12-29 00:00:06,2024-12-30 00:00:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241230_trimmed.nc,2024-12-30 00:00:06,2024-12-31 00:00:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241231_trimmed.nc,2024-12-31 00:00:06,2024-12-31 23:59:56
